NAME,amplitude,gamma,err cycle
TARIM HE,5.839911584231549,1.899157411813833,3.9803633809988868
ARAL SEA,27.521487996281458,7.7679687163765125,8.021632580234446
YANGTZE,25.19204605912995,3.106532880957648,10.9962301006448
MACKENZIE,26.093602119451024,9.138972180328025,6.0734906560980475
NIGER,52.87782236542239,27.897664413183453,6.592802346571849
AMUR,8.043360685294116,1.3067083183336325,8.61683175468687
LENA,28.069203795312013,7.04901520843914,6.650073251412217
CHAD,30.64981320645953,16.513855626566396,5.054624957179762
YENISEY,33.64145484210718,9.243736477132122,6.884064630275902
PARANA,35.07060953369051,3.202009415226064,15.667640736526415
OB,33.0457035339369,9.161368717504377,7.889017233086395
MISSISSIPPI,36.20706912268118,7.849513810441558,8.61149760960057
NILE,24.6083373319149,7.287366153065972,6.923229394262903
CONGO,31.013192312948227,5.878350191608243,8.642853345821356
AMAZON,99.89463410757969,26.889875694198256,14.361119773983537
Western Sahara,2.5314942615455758,1.4584763680800867,2.3384395462085
Eastern Sahara,2.135071028668122,1.2181504541618973,2.7994281880024188
Ogaden plateau,3.4484545411139127,1.366167376406661,3.2999735235530685
Arabian Peninsula,2.2605662054411457,1.4583414762870015,2.1427531880923203
Iranian Plateau,14.143347581036434,4.683675335065066,5.051808728606706
"Gobi desert, Junggar and Turpan depressions",4.439341872492645,1.8700517838012434,2.696239402631325
Tibetan plateau,12.295895236844103,4.054405402847315,4.206666522836287
Western Plateau,12.613871543782988,1.7812067625282892,9.472797551493526
Puna de Atacama plateau,7.87152015261149,2.1807412299146933,4.598873291172242
Salinas Grandes,5.094324949161396,1.2012153156597134,6.283274424849847
Great Basin,37.176271088647646,5.360431804469118,11.756412529026878
